2023-04-25 14:17:47.343 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.0.Final
2023-04-25 14:17:47.424 [main] INFO  com.litao.ServerApplication - Starting ServerApplication using Java 17.0.6 with PID 16796 (D:\WEBIDEA\admin-template\admin-server\target\classes started by Acer in D:\WEBIDEA\admin-template)
2023-04-25 14:17:47.441 [main] INFO  com.litao.ServerApplication - The following 1 profile is active: "dev"
2023-04-25 14:17:49.568 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2023-04-25 14:17:49.570 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2023-04-25 14:17:49.614 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 28 ms. Found 0 Redis repository interfaces.
2023-04-25 14:17:50.446 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2023-04-25 14:17:50.455 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2023-04-25 14:17:50.455 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2023-04-25 14:17:50.456 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.7]
2023-04-25 14:17:50.560 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2023-04-25 14:17:50.560 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 3042 ms
2023-04-25 14:17:52.717 [main] INFO  o.s.security.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@12e40e98, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@3a9c92b5, org.springframework.security.web.context.SecurityContextHolderFilter@53d9af1, org.springframework.security.web.header.HeaderWriterFilter@e645600, org.springframework.security.web.authentication.logout.LogoutFilter@77cf329d, com.litao.security.filter.AuthenticationTokenFilter@7848321e, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@4d5ea776, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@5d68be4f, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@67c2b55d, org.springframework.security.web.session.SessionManagementFilter@1f12d5e0, org.springframework.security.web.access.ExceptionTranslationFilter@74c04377, org.springframework.security.web.access.intercept.AuthorizationFilter@565a6af]
2023-04-25 14:17:53.098 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2023-04-25 14:17:53.118 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2023-04-25 14:17:53.127 [main] INFO  com.litao.ServerApplication - Started ServerApplication in 6.442 seconds (process running for 7.921)
2023-04-25 14:19:37.162 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.0.Final
2023-04-25 14:19:37.206 [main] INFO  com.litao.ServerApplication - Starting ServerApplication using Java 17.0.6 with PID 21856 (D:\WEBIDEA\admin-template\admin-server\target\classes started by Acer in D:\WEBIDEA\admin-template)
2023-04-25 14:19:37.207 [main] INFO  com.litao.ServerApplication - The following 1 profile is active: "dev"
2023-04-25 14:19:37.988 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2023-04-25 14:19:37.990 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2023-04-25 14:19:38.021 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 19 ms. Found 0 Redis repository interfaces.
